property_id,street,suburb,state,postcode,latitude,longitude,price,bedrooms,bathrooms,parking,property_type,is_rural,land_size,land_unit,is_retirement,url,price_int,nearest_station
15963215,1012/339 Swanston St,MELBOURNE,VIC,3000,-37.8103828,144.9638,$370,2,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/1012-339-swanston-st-melbourne-vic-3000-15963215,370.0,"[144.9638, -37.8103828]"
16027847,6/410 Queen Street,MELBOURNE,VIC,3000,-37.80909,144.958221,$695 per week,3,2,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/6-410-queen-street-melbourne-vic-3000-16027847,695.0,"[144.958221, -37.80909]"
16028030,508/616 Little Collins Street Street,MELBOURNE,VIC,3000,-37.8176155,144.954315,$500 per week,2,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/508-616-little-collins-street-street-melbourne-vic-3000-16028030,500.0,"[144.954315, -37.8176155]"
16035645,305/594 St Kilda Road,MELBOURNE,VIC,3000,-37.8496933,144.979645,$610 per week,2,2,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/305-594-st-kilda-road-melbourne-vic-3000-16035645,610.0,"[144.979645, -37.8496933]"
16042359,10/17 Queens Road,MELBOURNE,VIC,3000,-37.83981,144.974457,$380 pw,1,1,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/10-17-queens-road-melbourne-vic-3000-16042359,380.0,"[144.974457, -37.83981]"
16043720,712/478 Saint Kilda Road,MELBOURNE,VIC,3000,-37.84259,144.977036,$400 per week,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/712-478-saint-kilda-road-melbourne-vic-3000-16043720,400.0,"[144.977036, -37.84259]"
16044230,908/500 Flinders Street,MELBOURNE,VIC,3000,-37.82002,144.957825,$200,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/908-500-flinders-street-melbourne-vic-3000-16044230,200.0,"[144.957825, -37.82002]"
16049322,2302/135 Abeckett Street,MELBOURNE,VIC,3000,-37.8097878,144.959641,$600.00,2,1,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/2302-135-abeckett-street-melbourne-vic-3000-16049322,600.0,"[144.959641, -37.8097878]"
16059788,7/7 Drewery Lane,MELBOURNE,VIC,3000,-37.8110733,144.9639,$680 per week,2,2,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/7-7-drewery-lane-melbourne-vic-3000-16059788,680.0,"[144.9639, -37.8110733]"
16063938,211B/399 Bourke Street,MELBOURNE,VIC,3000,-37.8147278,144.962128,$350,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/211b-399-bourke-street-melbourne-vic-3000-16063938,350.0,"[144.962128, -37.8147278]"
16070203,22/187 Collins Street,MELBOURNE,VIC,3000,-37.815403,144.96785,$400 per week,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/22-187-collins-street-melbourne-vic-3000-16070203,400.0,"[144.96785, -37.815403]"
14845068,Studio/480 Elizabeth Street,MELBOURNE,VIC,3000,-37.8075066,144.96048,$389,0,0,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/studio-480-elizabeth-street-melbourne-vic-3000-14845068,389.0,"[144.96048, -37.8075066]"
15771462,57/398 La Trobe Street,MELBOURNE,VIC,3000,-37.8109436,144.957809,$910 Per Week,3,2,1,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/57-398-la-trobe-street-melbourne-vic-3000-15771462,910.0,"[144.957809, -37.8109436]"
15921427,2707/288 Spencer Street,MELBOURNE,VIC,3000,-37.8137741,144.952087,$440,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/2707-288-spencer-street-melbourne-vic-3000-15921427,440.0,"[144.952087, -37.8137741]"
15934869,2206/288 Spencer Street,MELBOURNE,VIC,3000,-37.8137741,144.952087,$440,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/2206-288-spencer-street-melbourne-vic-3000-15934869,440.0,"[144.952087, -37.8137741]"
16071522,204/408 Lonsdale Street,MELBOURNE,VIC,3000,-37.8126,144.9604,$420 per week,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/204-408-lonsdale-street-melbourne-vic-3000-16071522,420.0,"[144.9604, -37.8126]"
16071713,912/181 ABeckett Street,MELBOURNE,VIC,3000,-37.8101578,144.958191,$440.00,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/912-181-abeckett-street-melbourne-vic-3000-16071713,440.0,"[144.958191, -37.8101578]"
16071824,1403/279-289 La Trobe Street,MELBOURNE,VIC,3000,-37.81061,144.960846,$570.00,2,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/1403-279-289-la-trobe-street-melbourne-vic-3000-16071824,570.0,"[144.960846, -37.81061]"
16071828,1102/22 Coromandel Place,MELBOURNE,VIC,3000,-37.813076,144.969238,$400.00,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/1102-22-coromandel-place-melbourne-vic-3000-16071828,400.0,"[144.969238, -37.813076]"
16071845,3507/568 Collins Street,MELBOURNE,VIC,3000,-37.8183746,144.955429,$480 - Fully Furnished,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/3507-568-collins-street-melbourne-vic-3000-16071845,480.0,"[144.955429, -37.8183746]"
16071907,3502/318 Russell Street,MELBOURNE,VIC,3000,-37.80917,144.9668,$800 per week,2,2,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/3502-318-russell-street-melbourne-vic-3000-16071907,800.0,"[144.9668, -37.80917]"
16072254,6209/568 Collins Street,MELBOURNE,VIC,3000,-37.8183746,144.955429,$450 per week,1,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/6209-568-collins-street-melbourne-vic-3000-16072254,450.0,"[144.955429, -37.8183746]"
16072415,604/118 Russell Street,MELBOURNE,VIC,3000,-37.8135872,144.968719,$585 per week,2,1,0,Apartment / Unit / Flat,False,0,m²,False,https://www.domain.com.au/604-118-russell-street-melbourne-vic-3000-16072415,585.0,"[144.968719, -37.8135872]"
