,rank,School,Location,MedianVCE Score,VCE40+%
330,331,Catholic Regional College Melton,Melton West,28,3
331,332,Copperfield College,Delahey,28,3
332,333,Damascus College,Mount Clear,28,3
333,334,Lyndale Secondary College,Dandenong North,28,2.9
334,335,Mornington Secondary College,Mornington,28,2.9
335,336,Gleneagles Secondary College,Endeavour Hills,28,2.8
336,337,Swinburne Senior Secondary College,Hawthorn,28,2.8
337,338,Aitken College,Greenvale,28,2.7
338,339,Mount Alexander 7-12 College,Flemington,28,2.7
339,340,Hawkesdale College,Hawkesdale,28,2.6
340,341,Nagle College,Bairnsdale,28,2.6
341,342,Catholic Regional College Sydenham,Sydenham,28,2.5
342,343,Galen College,Wangaratta,28,2.5
343,344,Mirboo North Secondary College,Mirboo North,28,2.3
344,345,Trafalgar High School,Trafalgar,28,2.3
345,346,Bentleigh Secondary College,Bentleigh East,28,2.1
346,347,Northern College of Arts and Technology,Preston,28,2.1
347,348,Beaufort Secondary College,Beaufort,28,2
348,349,Keysborough Secondary College Acacia,Keysborough,28,2
349,350,Noble Park Secondary College,Noble Park,28,2
350,351,Ballarat High School,Ballarat,28,1.8
351,352,Epping Secondary College,Epping,28,1.8
352,353,South Oakleigh Secondary College,Oakleigh South,28,1.8
353,354,St Josephs College Mildura,Mildura,28,1.8
354,355,Rochester Secondary College,Rochester,28,1.4
355,356,Bundoora Secondary College,Bundoora,28,1.3
356,357,Wheelers Hill Secondary College,Wheelers Hill,28,1.2
357,358,Forest Hill College,Burwood East,28,0.8
358,359,Bayview College,Portland,28,0
359,360,Cobram Secondary College,Cobram,28,0
360,361,Edenhope College,Edenhope,28,0
361,362,Edinburgh College,Lilydale,28,0
362,363,Marian College Myrtleford,Myrtleford,28,0
363,364,Monterey Secondary College,Frankston North,28,0
364,365,Murrayville Community College,Murrayville,28,0
365,366,Myrtleford P-12 College,Myrtleford,28,0
366,367,St Arnaud Secondary College,St Arnaud,28,0
367,368,St Brigids College,Horsham,28,0
368,369,St Thomas Aquinas College,Tynong,28,0
369,370,Mountain District Christian School,Monbulk,27,7.7
370,371,Cobram Anglican Grammar School,Cobram,27,6.3
371,372,Healesville High School,Healesville,27,5.2
372,373,Ouyen Secondary College,Ouyen,27,4.4
373,374,Ilim College Kiewa Campus Dallas,Dallas,27,4.3
374,375,Lorne P-12 College,Lorne,27,4.3
375,376,Kerang Christian College,Kerang,27,4.2
376,377,Monbulk College,Monbulk,27,4
377,378,Phoenix P-12 Community College,Sebastopol,27,4
378,379,Collingwood College,Collingwood,27,3.8
379,380,North Geelong Secondary College,Geelong North,27,3.8
380,381,Westall Secondary College,Clayton South,27,3.8
381,382,Newcomb Secondary College,Newcomb,27,3.6
382,383,Essendon Keilor College Essendon Campus,Essendon,27,3.3
383,384,Hume Central Secondary College Town Park,Broadmeadows,27,3.3
384,385,Lakeview Senior College,Caroline Springs,27,3.1
385,386,Carwatha College P-12,Noble Park,27,3
386,387,Diamond Valley College,Diamond Creek,27,2.8
387,388,Hampton Park Secondary College,Hampton Park,27,2.8
388,389,Seymour College,Seymour,27,2.8
389,390,William Ruthven Secondary College,Reservoir,27,2.7
390,391,Marian College Ararat,Ararat,27,2.6
391,392,Nhill College,Nhill,27,2.6
392,393,Robinvale College,Robinvale,27,2.6
393,394,Brauer College,Warrnambool,27,2.5
394,395,Lilydale High School,Lilydale,27,2.4
395,396,Surf Coast Secondary College,Torquay,27,2.4
396,397,Point Cook Senior Secondary College,Point Cook,27,2.3
397,398,Wonthaggi Secondary College,Wonthaggi,27,2.3
398,399,Hazel Glen College,Doreen,27,2.2
399,400,St Mary of the Angels College,Nathalia,27,2.2
400,401,Sunshine College,Sunshine West,27,2.1
401,402,Thomas Carr College,Tarneit,27,2.1
402,403,Bellarine Secondary College,Drysdale,27,2
403,404,Gordon Institute of TAFE,Geelong,27,2
404,405,Marist College Bendigo,Maiden Gully,27,2
405,406,Melba Secondary College,Croydon,27,2
406,407,Traralgon College,Traralgon,27,1.8
407,408,Mercy Regional College,Camperdown,27,1.4
408,409,Scoresby Secondary College,Scoresby,27,1.4
409,410,Warrnambool College,Warrnambool,27,1.4
410,411,Leongatha Secondary College,Leongatha,27,1.3
411,412,Numurkah Secondary College,Numurkah,27,1.3
412,413,Upwey High School,Upwey,27,1.3
413,414,Melton Secondary College,Melton,27,1
414,415,Pascoe Vale Girls Secondary College,Pascoe Vale,27,1
415,416,Keysborough Secondary College Banksia,Springvale South,27,0.9
416,417,Yarrawonga College P-12,Yarrawonga,27,0.9
417,418,Lakeside Lutheran College,Pakenham,27,0.8
418,419,Mount Erin College,Frankston South,27,0.7
419,420,Mount Clear College,Mount Clear,27,0.3
420,421,Camperdown College,Camperdown,27,0
421,422,Good Shepherd College,Hamilton,27,0
422,423,Orbost Secondary College,Orbost,27,0
423,424,Rainbow P-12 College,Rainbow,27,0
424,425,Somerville Secondary College,Somerville,27,0
425,426,Sydney Road Community School,Brunswick,27,0
426,427,Lakes Entrance Secondary College,Lakes Entrance,26,5.2
427,428,Al Iman College,Melton South,26,3.9
428,429,Terang College Secondary Campus,Terang,26,3.7
429,430,Taylors Lakes Secondary College,Taylors Lakes,26,3.6
430,431,Notre Dame College,Shepparton,26,3.2
431,432,Sunbury College,Sunbury,26,3.2
432,433,Rowville Secondary College,Rowville,26,3.1
433,434,St Johns Regional College,Dandenong,26,3
434,435,St Augustines College,Kyabram,26,2.9
435,436,Thomastown Secondary College,Thomastown,26,2.9
436,437,Bairnsdale Secondary College,Bairnsdale,26,2.8
437,438,Australian International Academy Caroline Springs,Caroline Springs,26,2.6
438,439,Kurunjang Secondary College,Melton,26,2.6
439,440,Minaret College Officer,Officer,26,2.3
440,441,Penola Catholic College,Broadmeadows,26,2.3
441,442,Elisabeth Murdoch College,Langwarrin,26,2
442,443,Bendigo Senior Secondary College,Bendigo,26,1.9
443,444,Cohuna Secondary College,Cohuna,26,1.9
444,445,RMIT TAFE,Melbourne,26,1.9
445,446,Mildura Senior College,Mildura,26,1.7
446,447,Geelong High School,East Geelong,26,1.5
447,448,Koo Wee Rup Secondary College,Koo Wee Rup,26,1.5
448,449,Kyneton High School,Kyneton,26,1.5
449,450,Kolbe Catholic College,Greenvale Lakes,26,1.4
450,451,Melton Christian College,Melton South,26,1.4
451,452,Swan Hill College,Swan Hill,26,1.4
452,453,Dandenong High School Dandenong,Dandenong,26,1.3
453,454,Staughton College,Melton South,26,1.3
454,455,Mount Beauty Secondary College,Mount Beauty,26,1.2
455,456,Patterson River Secondary College,Seaford,26,1.2
456,457,Echuca College,Echuca,26,1.1
457,458,Heathmont College,Heathmont,26,1.1
458,459,Greensborough Secondary College,Greensborough,26,1
459,460,Alexandra Secondary College,Alexandra,26,0.8
460,461,Korumburra Secondary College,Korumburra,26,0.8
461,462,Officer Secondary College,Officer,26,0.8
462,463,Al-Taqwa College Islamic Schools of Vic,Truganina,26,0.7
463,464,Castlemaine Secondary College,Castlemaine,26,0.7
464,465,Yarram Secondary College,Yarram,26,0.7
465,466,Yea High School,Yea,26,0.7
466,467,Maryborough Education Centre,Maryborough,26,0.6
467,468,Pakenham Secondary College,Pakenham,26,0.6
468,469,Macleod College,Macleod,26,0.4
469,470,Bayswater Secondary College,Bayswater,26,0
470,471,Cann River P-12 College,Cann River,26,0
471,472,Heywood and District Secondary College,Heywood,26,0
